task,SINGLE_pass,MULTI_pass,improved,regressed,tokens_S,tokens_M,token_delta,lines_S,lines_M,line_delta
004,False,True,True,False,466,3397,2931,12,17,5
141,True,True,False,False,670,4854,4184,28,30,2
090,True,True,False,False,452,3909,3457,11,15,4
028,False,True,True,False,330,2786,2456,4,14,10
086,True,True,False,False,453,3646,3193,10,8,-2
069,True,True,False,False,534,3780,3246,18,13,-5
049,True,True,False,False,469,4200,3731,15,14,-1
008,False,True,True,False,462,3602,3140,15,18,3
136,True,True,False,False,564,4209,3645,21,17,-4
073,True,True,False,False,541,4149,3608,17,29,12
161,True,True,False,False,455,3620,3165,11,8,-3
024,True,True,False,False,397,3673,3276,9,10,1
032,True,True,False,False,882,5382,4500,46,33,-13
120,True,True,False,False,536,4152,3616,8,10,2
065,True,True,False,False,447,3759,3312,17,16,-1
121,True,True,False,False,451,3645,3194,14,3,-11
064,True,True,False,False,591,4327,3736,26,20,-6
033,True,True,False,False,542,4177,3635,19,12,-7
160,True,True,False,False,608,4103,3495,21,19,-2
025,False,True,True,False,519,4417,3898,22,26,4
137,True,True,False,False,529,4138,3609,21,23,2
072,True,True,False,False,568,4353,3785,10,8,-2
009,False,True,True,False,475,3294,2819,17,12,-5
048,True,True,False,False,353,3122,2769,4,6,2
087,True,True,False,False,658,4840,4182,17,14,-3
068,True,True,False,False,726,4315,3589,19,15,-4
029,False,True,True,False,400,3404,3004,4,5,1
091,True,True,False,False,476,3607,3131,17,18,1
005,False,True,True,False,488,3318,2830,20,17,-3
140,True,True,False,False,579,3453,2874,32,8,-24
052,True,True,False,False,405,3443,3038,9,4,-5
117,True,True,False,False,591,4271,3680,22,14,-8
044,True,True,False,False,506,3774,3268,17,20,3
101,True,True,False,False,423,3494,3071,7,6,-1
013,True,True,False,False,388,3780,3392,5,6,1
156,True,True,False,False,569,4960,4391,22,19,-3
